GEO_PICT,TIME_PERIOD,POP_N,LVST_YIELD,CROP_YIELD,TRSM_ARR,LVST_YIELD_var,CROP_YIELD_var,TRSM_ARR_var,10M_N,20M_N,5M_N
TO,2015,106133.0,1273.7,8094.6,72600.0,-3.0086581734832976,15.839282404939496,43.714945562520626,59434.48,82783.74,3183.99
TO,2016,105565.0,1124.5,7383.3,86700.0,-14.370131205214705,5.660091144761907,71.62652589904323,59116.40000000001,82340.7,3166.95
TO,2017,105391.0,1115.7,7094.8,86600.0,-15.040244896094308,1.531458108685385,71.42857142857144,59018.96000000001,82204.98,3161.73
TO,2018,105609.0,1089.6,7082.2,77300.0,-17.027741183816758,1.3511434596227758,53.018805674694846,59141.04000000001,82375.02,3168.27
TO,2019,105709.0,1072.6,7136.0,94000.0,-18.322278995743275,2.121058389747276,86.07720224348401,59197.04000000001,82453.02,3171.27
TO,2020,105742.0,1081.6,7195.5,,-17.63693544825277,2.972544232542944,,59215.520000000004,82478.76000000001,3172.2599999999998
TO,2021,105525.0,1085.4,7262.4,,-17.34756817264565,3.9299291549468336,,59094.00000000001,82309.5,3165.75
TO,2022,105081.0,1091.4,7325.1,,-16.89067247431865,4.827209194329839,,28371.870000000003,80912.37,3152.43
TO,2023,104635.0,1110.8,7486.8,,-15.413376383061362,7.141247190633379,,28251.45,80568.95,3139.0499999999997
NC,1990,176492.0,382.4,6083.9,,-12.011044638748274,-18.67933279599859,,,,
NC,1991,181269.0,365.6,6040.2,,-15.876668200644275,-19.263450410820482,,,,
NC,1992,186110.0,349.9,6671.2,,-19.48918545789232,-10.829166315795106,,,,
NC,1993,190890.0,381.4,6950.2,,-12.241141279337327,-7.099902825284673,,,,
NC,1994,195653.0,373.7,7882.1,,-14.012885411872986,5.356371894452479,,,,
NC,1995,200410.0,432.7,7951.4,122000.0,-0.43718361711920295,6.282672825966372,-39.42068965517242,,,
NC,1996,205072.0,415.1,8268.1,138000.0,-4.486884491486421,10.515854716448999,-31.47586206896551,,,
NC,1997,209591.0,433.3,9572.0,139000.0,-0.2991256327657652,27.944480756866724,-30.97931034482758,,,
NC,1998,214074.0,413.7,8324.5,127000.0,-4.8090197883111045,11.269727336036041,-36.93793103448275,,,
NC,1999,218553.0,406.4,8454.3,151000.0,-6.488725264611148,13.004703683950922,-25.02068965517242,,,
NC,2000,223126.0,436.9,7795.1,161000.0,0.5292222733547902,4.193483279132025,-20.055172413793102,,,
